reporterISO,flowCode,refYear,regime_index,primaryValue,share
BEL,X,2005,2.0,16448412466.0,4.95
BEL,X,2005,3.0,296305853113.0,89.17
BEL,X,2006,0.0,11587728440.0,3.19
BEL,X,2006,1.0,11743447738.0,3.24
BEL,X,2006,2.0,17090806057.0,4.71
BEL,X,2006,3.0,322314990869.0,88.86
BEL,X,2007,0.0,13690286892.0,3.21
BEL,X,2007,1.0,14709444898.0,3.45
BEL,X,2007,2.0,21315870635.0,5.0
BEL,X,2007,3.0,376989685030.0,88.35
BEL,X,2008,0.0,16165486822.0,3.48
BEL,X,2008,1.0,17085616399.0,3.67
BEL,X,2008,2.0,23484148791.0,5.05
BEL,X,2008,3.0,408222435498.0,87.8
BEL,X,2009,0.0,14940967812.0,4.08
BEL,X,2009,1.0,14582464901.0,3.98
BEL,X,2009,2.0,18315360808.0,5.0
BEL,X,2009,3.0,318450566270.0,86.94
BEL,X,2010,0.0,13577480430.885,5.05
BEL,X,2010,1.0,12204579061.98,4.54
BEL,X,2010,2.0,19205749825.407,7.14
BEL,X,2010,3.0,223979438981.136,83.27
BEL,X,2011,0.0,17289591998.504,5.4
BEL,X,2011,1.0,16496140904.709,5.15
BEL,X,2011,2.0,25102674165.164,7.84
BEL,X,2011,3.0,261466374093.118,81.62
BEL,X,2012,0.0,16426209819.199,5.51
BEL,X,2012,1.0,15510368999.847,5.2
BEL,X,2012,2.0,23257521698.913,7.8
BEL,X,2012,3.0,243116266453.12,81.5
BEL,X,2013,0.0,17327287370.649,5.59
BEL,X,2013,1.0,15034978783.211,4.85
BEL,X,2013,2.0,26314935525.235,8.49
BEL,X,2013,3.0,251446780431.289,81.08
BEL,X,2014,0.0,18760695624.815998,6.01
BEL,X,2014,1.0,16955340128.652,5.43
BEL,X,2014,2.0,24267904841.12,7.77
BEL,X,2014,3.0,252326425615.603,80.79
BEL,X,2015,0.0,14683330394.475,5.89
BEL,X,2015,1.0,12276686826.603,4.92
BEL,X,2015,2.0,18439990348.37,7.4
BEL,X,2015,3.0,203890148042.813,81.79
BEL,X,2016,0.0,15773116226.556,5.88
BEL,X,2016,1.0,13557792906.928,5.05
BEL,X,2016,2.0,19859629912.412,7.4
BEL,X,2016,3.0,219043478264.395,81.66
BEL,X,2017,0.0,17915188421.868,6.12
BEL,X,2017,1.0,15209124068.943,5.2
BEL,X,2017,2.0,29826175819.09,10.2
BEL,X,2017,3.0,229590583559.867,78.48
BEL,X,2018,0.0,16771912666.066,5.3
BEL,X,2018,1.0,24412102010.659,7.71
BEL,X,2018,2.0,22669614794.315,7.16
BEL,X,2018,3.0,252887392628.88,79.84
BEL,X,2019,0.0,15218023357.911999,4.96
BEL,X,2019,1.0,25267029092.911,8.23
BEL,X,2019,2.0,20429223176.291,6.66
BEL,X,2019,3.0,245993111888.184,80.15
BEL,X,2020,0.0,15291857814.404,5.24
BEL,X,2020,1.0,22552647833.65,7.73
