reporterISO,flowCode,refYear,regime_index,primaryValue
HUN,X,2022,3.0,94252351089.0
HUN,X,2023,0.0,3845767064.0
HUN,X,2023,1.0,11644089357.0
HUN,X,2023,2.0,43728628820.0
HUN,X,2023,3.0,98606687603.0
HUN,X,2024,0.0,4204853551.0
HUN,X,2024,1.0,12844820825.0
HUN,X,2024,2.0,55459230026.0
HUN,X,2024,3.0,94985015443.0
IND,M,2000,0.0,7176129834.0
IND,M,2000,1.0,6275149866.0
IND,M,2000,2.0,2401879361.0
IND,M,2000,3.0,23197521909.0
IND,M,2001,0.0,5234199335.0
IND,M,2001,1.0,4540860478.0
IND,M,2001,2.0,2735806628.0
IND,M,2001,3.0,23618563524.0
IND,M,2002,0.0,6439085645.0
IND,M,2002,1.0,4675320019.0
IND,M,2002,2.0,3064564802.0
IND,M,2002,3.0,26489913381.0
IND,M,2003,0.0,8931742649.0
IND,M,2003,1.0,6010594452.0
IND,M,2003,2.0,4104690424.0
IND,M,2003,3.0,32784043406.0
IND,M,2004,0.0,14986223217.0
IND,M,2004,1.0,8068147467.0
IND,M,2004,2.0,5655093550.0
IND,M,2004,3.0,41733038152.0
IND,M,2005,0.0,22537132183.0
IND,M,2005,1.0,11615619240.0
IND,M,2005,2.0,7170690471.0
IND,M,2005,3.0,57612551329.0
IND,M,2006,0.0,46889372609.0
IND,M,2006,1.0,36303229802.0
IND,M,2006,2.0,8854734617.0
IND,M,2006,3.0,71126686601.0
IND,M,2007,0.0,72845476284.0
IND,M,2007,1.0,45651341056.0
IND,M,2007,2.0,11095639686.0
IND,M,2007,3.0,85878317760.0
IND,M,2008,0.0,102610499122.0
IND,M,2008,1.0,71455425026.0
IND,M,2008,2.0,15405797373.0
IND,M,2008,3.0,120914240905.0
IND,M,2009,0.0,92083975777.0
IND,M,2009,1.0,49503383225.0
IND,M,2009,2.0,17409859218.0
IND,M,2009,3.0,102870481693.0
IND,M,2010,0.0,124660929042.0
IND,M,2010,1.0,72161475225.0
IND,M,2010,2.0,19346081440.0
IND,M,2010,3.0,128042562567.0
IND,M,2011,0.0,167232388907.0
IND,M,2011,1.0,95614797533.0
IND,M,2011,2.0,26348158382.0
IND,M,2011,3.0,163823022294.0
IND,M,2012,0.0,174282648997.0
IND,M,2012,1.0,100623867396.0
IND,M,2012,2.0,44570069559.0
IND,M,2012,3.0,163092620073.0
IND,M,2013,0.0,172092178747.0
IND,M,2013,1.0,92756985407.0
IND,M,2013,2.0,54016894192.0
IND,M,2013,3.0,140131229250.0
