reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUT,X,2018,3.0,134434653004.983,76.73
AUT,X,2019,0.0,7704900165.318,4.54
AUT,X,2019,1.0,15565739948.879,9.17
AUT,X,2019,2.0,20926637795.667,12.33
AUT,X,2019,3.0,125514981908.32,73.96
AUT,X,2020,0.0,6999998477.16,4.36
AUT,X,2020,1.0,14282962627.202,8.89
AUT,X,2020,2.0,27077881778.753,16.85
AUT,X,2020,3.0,112326703981.951,69.9
AUT,X,2021,0.0,8981884231.0,4.66
AUT,X,2021,1.0,16601973469.03,8.62
AUT,X,2021,2.0,35190703007.233,18.26
AUT,X,2021,3.0,131922624411.173,68.46
AUT,X,2022,0.0,8740788296.74,4.35
AUT,X,2022,1.0,17646969104.208,8.78
AUT,X,2022,2.0,27570650239.920002,13.71
AUT,X,2022,3.0,147098603642.611,73.16
AUT,X,2023,0.0,8678058699.139,4.06
AUT,X,2023,1.0,17416118156.367,8.15
AUT,X,2023,2.0,35676311745.569,16.7
AUT,X,2023,3.0,151836214873.362,71.08
BEL,M,2000,0.0,7423403724.0,4.22
BEL,M,2000,1.0,5898361989.0,3.35
BEL,M,2000,2.0,8983739273.0,5.1
BEL,M,2000,3.0,153715467494.0,87.33
BEL,M,2001,0.0,7662527212.0,4.31
BEL,M,2001,1.0,5599272774.0,3.15
BEL,M,2001,2.0,9250906481.0,5.2
BEL,M,2001,3.0,155293874415.0,87.34
BEL,M,2002,0.0,8612950665.0,4.36
BEL,M,2002,1.0,6935878638.0,3.51
BEL,M,2002,2.0,9438329782.0,4.78
BEL,M,2002,3.0,172431336723.0,87.34
BEL,M,2003,0.0,10017261219.0,4.28
BEL,M,2003,1.0,8216248249.0,3.51
BEL,M,2003,2.0,11422808126.0,4.88
BEL,M,2003,3.0,204488259580.0,87.33
BEL,M,2004,0.0,13608039783.0,4.78
BEL,M,2004,1.0,10885390358.0,3.82
BEL,M,2004,2.0,13890512056.0,4.88
BEL,M,2004,3.0,246411328271.0,86.52
BEL,M,2005,0.0,16811437962.0,5.3
BEL,M,2005,1.0,13940219326.0,4.4
BEL,M,2005,2.0,14739942729.0,4.65
BEL,M,2005,3.0,271434352097.0,85.65
BEL,M,2006,0.0,18918233487.0,5.38
BEL,M,2006,1.0,17644339293.0,5.01
BEL,M,2006,2.0,16332758060.0,4.64
BEL,M,2006,3.0,298987297041.0,84.97
BEL,M,2007,0.0,26957897185.0,6.55
BEL,M,2007,1.0,16900020269.0,4.11
BEL,M,2007,2.0,20517935142.0,4.99
BEL,M,2007,3.0,347039548575.0,84.35
BEL,M,2008,0.0,28586361940.0,6.15
BEL,M,2008,1.0,22432781904.0,4.83
BEL,M,2008,2.0,23817411289.0,5.12
BEL,M,2008,3.0,389936555209.0,83.9
BEL,M,2009,0.0,21590619158.0,6.11
BEL,M,2009,1.0,17437917401.0,4.93
BEL,M,2009,2.0,16995334180.0,4.81
BEL,M,2009,3.0,297564662698.0,84.16
BEL,M,2010,0.0,14311829323.501,5.07
BEL,M,2010,1.0,12683443873.649,4.49
BEL,M,2010,2.0,14448988459.684,5.12
BEL,M,2010,3.0,240761694201.168,85.31
BEL,M,2011,0.0,17999773449.492,5.28
BEL,M,2011,1.0,16920371606.823,4.96
BEL,M,2011,2.0,18684588145.925,5.48
BEL,M,2011,3.0,287189452226.507,84.27
BEL,M,2012,0.0,16018122807.733002,5.04
BEL,M,2012,1.0,15956935566.396002,5.02
BEL,M,2012,2.0,16211896563.956,5.1
BEL,M,2012,3.0,269568008252.913,84.84
BEL,M,2013,0.0,16738569600.086,5.12
BEL,M,2013,1.0,18915135607.413002,5.78
BEL,M,2013,2.0,15319893241.642,4.68
BEL,M,2013,3.0,276225663827.356,84.42
BEL,M,2014,0.0,17737610738.913998,5.41
BEL,M,2014,1.0,19942458653.905,6.09
BEL,M,2014,2.0,16416490921.374,5.01
BEL,M,2014,3.0,273474795601.686,83.49
BEL,M,2015,0.0,15919372107.865002,6.18
BEL,M,2015,1.0,14554438974.223,5.65
BEL,M,2015,2.0,15171795235.873001,5.89
BEL,M,2015,3.0,212112369772.991,82.29
BEL,M,2016,0.0,14414648872.688,5.22
BEL,M,2016,1.0,17316258038.524,6.27
BEL,M,2016,2.0,19979342038.063,7.24
BEL,M,2016,3.0,224265182382.196,81.26
BEL,M,2017,0.0,14697345421.603,4.82
BEL,M,2017,1.0,21941102111.741,7.2
BEL,M,2017,2.0,18974111824.052,6.22
BEL,M,2017,3.0,249301056034.643,81.76
BEL,M,2018,0.0,15825369786.612999,4.67
BEL,M,2018,1.0,27237653917.071,8.03
BEL,M,2018,2.0,19075051808.539,5.62
BEL,M,2018,3.0,277007753610.42,81.68
BEL,M,2019,0.0,14297004397.313,4.5
BEL,M,2019,1.0,22732305891.331,7.16
BEL,M,2019,2.0,19913902095.252,6.27
BEL,M,2019,3.0,260708256815.379,82.07
BEL,M,2020,0.0,13475094481.397,4.6
BEL,M,2020,1.0,20892093149.584,7.14
BEL,M,2020,2.0,25116876736.981,8.58
BEL,M,2020,3.0,233217534381.392,79.68
BEL,M,2021,0.0,20046685917.15,5.13
BEL,M,2021,1.0,27078354458.761,6.92
BEL,M,2021,2.0,32276767717.046,8.25
BEL,M,2021,3.0,311719849022.464,79.7
BEL,M,2022,0.0,29769065174.861,6.45
BEL,M,2022,1.0,34451758984.506996,7.47
BEL,M,2022,2.0,33162989345.066,7.19
BEL,M,2022,3.0,364023595637.325,78.89
BEL,M,2023,0.0,22581566099.164,5.47
BEL,M,2023,1.0,23462752437.865,5.68
BEL,M,2023,2.0,39039149225.557,9.45
BEL,M,2023,3.0,327981091620.8,79.4
BEL,M,2024,0.0,18670581683.904,5.12
BEL,M,2024,1.0,20366046710.282,5.58
BEL,M,2024,2.0,40574735358.131996,11.13
BEL,M,2024,3.0,285059060684.748,78.17
BEL,X,2000,0.0,5030182861.0,2.7
BEL,X,2000,1.0,4840845577.0,2.6
BEL,X,2000,2.0,9162917641.0,4.92
BEL,X,2000,3.0,167067247615.0,89.77
BEL,X,2001,0.0,5535431090.0,2.94
BEL,X,2001,1.0,5048751394.0,2.68
BEL,X,2001,2.0,8306364860.0,4.41
BEL,X,2001,3.0,169495570038.0,89.97
BEL,X,2002,0.0,6496015728.0,3.04
BEL,X,2002,1.0,5713672545.0,2.67
BEL,X,2002,2.0,10084407642.0,4.72
BEL,X,2002,3.0,191582321584.0,89.58
BEL,X,2003,0.0,7479356968.0,2.95
BEL,X,2003,1.0,6636436418.0,2.62
BEL,X,2003,2.0,11791597293.0,4.66
BEL,X,2003,3.0,227354528265.0,89.77
BEL,X,2004,0.0,8824012909.0,2.89
BEL,X,2004,1.0,8522550158.0,2.79
BEL,X,2004,2.0,14452834405.0,4.74
