reporterISO,refYear,flowCode,v2x_regime,primaryValue,share
ALB,2001,M,3.0,1069619778.0,80.78
ALB,2001,X,0.0,134783.0,0.05
ALB,2001,X,1.0,6575024.0,2.23
ALB,2001,X,2.0,3772714.0,1.28
ALB,2001,X,3.0,284839269.0,96.45
ALB,2002,M,0.0,42585173.0,2.86
ALB,2002,M,1.0,76679458.0,5.15
ALB,2002,M,2.0,205743597.0,13.81
ALB,2002,M,3.0,1164875431.0,78.19
ALB,2002,X,0.0,420612.0,0.13
ALB,2002,X,1.0,175821.0,0.05
ALB,2002,X,2.0,10800276.0,3.35
ALB,2002,X,3.0,311315168.0,96.47
ALB,2003,M,0.0,75062694.0,4.08
ALB,2003,M,1.0,136995659.0,7.44
ALB,2003,M,2.0,251316605.0,13.65
ALB,2003,M,3.0,1377484664.0,74.83
ALB,2003,X,0.0,1624054.0,0.37
ALB,2003,X,1.0,3374389.0,0.77
ALB,2003,X,2.0,8600992.0,1.97
ALB,2003,X,3.0,423137759.0,96.89
ALB,2004,M,0.0,109733704.0,4.81
ALB,2004,M,1.0,141130273.0,6.19
ALB,2004,M,2.0,340490212.0,14.93
ALB,2004,M,3.0,1689786682.0,74.08
ALB,2004,X,0.0,807723.0,0.14
ALB,2004,X,1.0,848411.0,0.15
ALB,2004,X,2.0,23278051.0,4.06
ALB,2004,X,3.0,548185822.0,95.65
ALB,2005,M,0.0,186116992.0,7.2
ALB,2005,M,1.0,221408634.0,8.56
ALB,2005,M,2.0,416082098.0,16.09
ALB,2005,M,3.0,1762365629.0,68.15
ALB,2005,X,0.0,3406271.0,0.54
ALB,2005,X,1.0,2247003.0,0.36
ALB,2005,X,2.0,29161960.0,4.66
ALB,2005,X,3.0,590660689.0,94.43
ALB,2006,M,0.0,192504257.0,6.3
ALB,2006,M,1.0,180533455.0,5.91
ALB,2006,M,2.0,691205876.0,22.63
ALB,2006,M,3.0,1989915559.0,65.15
ALB,2006,X,0.0,10007696.0,1.26
ALB,2006,X,1.0,1177473.0,0.15
ALB,2006,X,2.0,78091446.0,9.85
ALB,2006,X,3.0,703246070.0,88.74
ALB,2007,M,0.0,310889063.0,7.42
ALB,2007,M,1.0,224447171.0,5.35
ALB,2007,M,2.0,767150444.0,18.3
ALB,2007,M,3.0,2889983506.0,68.93
ALB,2007,X,0.0,27700950.0,2.57
ALB,2007,X,1.0,10425933.0,0.97
ALB,2007,X,2.0,74070088.0,6.87
ALB,2007,X,3.0,965479897.0,89.59
ALB,2008,M,0.0,408872630.0,7.8
ALB,2008,M,1.0,349061608.0,6.66
ALB,2008,M,2.0,844636463.0,16.12
ALB,2008,M,3.0,3636850503.0,69.41
ALB,2008,X,0.0,37687588.0,2.78
ALB,2008,X,1.0,44519121.0,3.29
ALB,2008,X,2.0,81932502.0,6.05
ALB,2008,X,3.0,1190579778.0,87.88
ALB,2009,M,0.0,363299596.0,8.0
ALB,2009,M,1.0,234684114.0,5.17
ALB,2009,M,2.0,738651697.0,16.28
ALB,2009,M,3.0,3201903098.0,70.55
ALB,2009,X,0.0,62640240.0,5.76
ALB,2009,X,1.0,17205347.0,1.58
ALB,2009,X,2.0,51177481.0,4.71
ALB,2009,X,3.0,956165272.0,87.95
ALB,2010,M,0.0,355194375.0,7.73
ALB,2010,M,1.0,224307205.0,4.88
ALB,2010,M,2.0,762360963.0,16.6
ALB,2010,M,3.0,3251502788.0,70.79
ALB,2010,X,0.0,109247410.0,7.05
ALB,2010,X,1.0,6258749.0,0.4
ALB,2010,X,2.0,156350027.0,10.09
ALB,2010,X,3.0,1276971895.0,82.45
ALB,2011,M,0.0,404829351.0,7.51
ALB,2011,M,1.0,356577273.0,6.62
ALB,2011,M,2.0,719974273.0,13.36
ALB,2011,M,3.0,3906340051.0,72.5
ALB,2011,X,0.0,58320272.0,3.0
ALB,2011,X,1.0,60795992.0,3.13
ALB,2011,X,2.0,227385003.0,11.7
ALB,2011,X,3.0,1597434169.0,82.18
ALB,2012,M,0.0,401566728.0,8.27
ALB,2012,M,1.0,331539021.0,6.83
ALB,2012,M,2.0,659781535.0,13.58
ALB,2012,M,3.0,3464747304.0,71.33
ALB,2012,X,0.0,56639655.0,2.88
ALB,2012,X,1.0,54879127.0,2.8
ALB,2012,X,2.0,226307523.0,11.53
ALB,2012,X,3.0,1625641052.0,82.79
ALB,2013,M,0.0,382526683.0,7.88
ALB,2013,M,1.0,597718632.0,12.31
ALB,2013,M,2.0,684428871.0,14.1
ALB,2013,M,3.0,3189896208.0,65.71
ALB,2013,X,0.0,114660111.0,4.93
ALB,2013,X,1.0,171109583.0,7.36
ALB,2013,X,2.0,383087432.0,16.48
ALB,2013,X,3.0,1655224566.0,71.22
ALB,2014,M,0.0,456474770.0,8.75
ALB,2014,M,1.0,961613959.0,18.43
ALB,2014,M,2.0,425742858.0,8.16
ALB,2014,M,3.0,3372884307.0,64.66
ALB,2014,X,0.0,106731157.0,4.4
